BOARD,MEDIUM,GRADE,SUBJECT,TEXTBOOK_ID,TEXTBOOK_NAME,CURRENT_STATUS,TOTAL_CONTENT_LINKED,NO_OF_QR_CODES_LINKED_TO_CONTENT,NO_OF_QR_CODES_NOT_LINKED_TO_CONTENT,TOTAL_LEAF_NODES,NUMBER_OF_LEAF_NODES_NOT_LINKED_TO_CONTENT
State (Andhra Pradesh),English,['Class 1'],English,do_31263704531999948812766,Know-how - Teacher Hand Book,Live,76,76,1,77,1
State (Andhra Pradesh),English,['Class 1'],Evs,do_31263704528929587212737,Know-how - Teacher Hand Book,Live,28,28,0,28,0
State (Andhra Pradesh),English,['Class 1'],Mathematics,do_31263704527730278422632,Know-how - Teacher Hand Book,Live,8,8,0,8,0
State (Andhra Pradesh),English,['Class 6'],Mathematics,do_312531127126859776212789,MATHEMATICS (CLASS VI),Live,82,73,2,75,2
State (Andhra Pradesh),English,['Class 6'],Science,do_31260529560534220828905,Science (class Vi),Live,121,84,0,84,0
State (Andhra Pradesh),English,['Class 6'],Social Studies,do_31260529315993190428903,Social Studies (class Vi),Live,99,86,0,86,0
State (Andhra Pradesh),English,['Class 7'],Mathematics,do_312531102523490304212075,Mathematics(class Vii),Live,130,77,1,78,1
State (Andhra Pradesh),English,['Class 7'],Science,do_31260480592711680024100,Science (class Vii),Live,125,93,13,106,13
State (Andhra Pradesh),English,['Class 7'],Social Studies,do_31260535881723904029806,Social Studies (class Vii),Live,114,91,15,106,15
State (Andhra Pradesh),English,['Class 8'],Biology,do_31252967530399334414911,Biology (classviii),Live,164,84,2,86,2
State (Andhra Pradesh),English,['Class 8'],Mathematics,do_31253038120950988829848,Mathematics (class VIII),Live,110,94,12,106,12
State (Andhra Pradesh),English,['Class 8'],Physical Science,do_312531096796528640211793,Physics  (class Viii),Live,113,87,2,89,2
State (Andhra Pradesh),English,['Class 8'],Social Studies,do_312531110711533568112401,Social Studies (class Viii),Live,169,149,7,159,10
State (Andhra Pradesh),English,['Class 9'],Biology,do_31257572595480166424641,BIOLOGY (CLASS IX),Live,245,110,1,111,1
State (Andhra Pradesh),English,['Class 9'],Mathematics,do_31257573271802675214122,MATHEMATICS (CLASS IX),Live,130,103,0,103,0
State (Andhra Pradesh),English,['Class 9'],Physical Science,do_31257573486248755225033,PHYSICS(CLASS IX),Draft,150,81,0,81,0
State (Andhra Pradesh),English,['Class 9'],Social Studies,do_31260479845269504016563,Social Studies (class Ix),Live,178,163,0,163,0
State (Andhra Pradesh),English,['Class 10'],Biology,do_31254305903235072016642,Biological Science (CLASS X),Live,244,122,0,122,0
State (Andhra Pradesh),English,['Class 10'],Mathematics,do_31260533297889280029125,Mathematics (class X),Live,135,98,0,98,0
State (Andhra Pradesh),English,['Class 10'],Physical Science,do_31253882913327513624696,Physical Sciences (CLASS X),Live,342,158,0,158,0
State (Andhra Pradesh),English,['Class 10'],Social Studies,do_31253952706855731225374,SOCIAL STUDIES (CLASS X),Live,201,174,0,174,0
State (Andhra Pradesh),Telugu,['Class 6'],Mathematics,do_312531103835676672212185,Mathematics (class Vi),Live,74,70,4,74,4
State (Andhra Pradesh),Telugu,['Class 6'],Science,do_312531103075401728111744,Science (class  Vi),Draft,95,74,19,93,19
State (Andhra Pradesh),Telugu,['Class 6'],Social Studies,do_312532202577215488118190,Social Studies (class VI),Live,40,38,24,62,24
State (Andhra Pradesh),Telugu,['Class 7'],Mathematics,do_31260529187853926428902,Mathematics (class Vii),Live,80,76,5,81,5
State (Andhra Pradesh),Telugu,['Class 7'],Science,do_31260480531537100816989,Science (class Vii),Live,129,102,2,104,2
State (Andhra Pradesh),Telugu,['Class 7'],Social Studies,do_312531113831448576212703,Social Studies (class Vii),Live,109,104,9,113,9
State (Andhra Pradesh),Telugu,['Class 8'],Biology,do_31257571788062720013997,BIOLOGY (CLASS VIII),Live,171,94,0,94,0
State (Andhra Pradesh),Telugu,['Class 8'],Mathematics,do_31260528049337958426600,Mathematics (class Viii),Live,128,109,2,111,2
State (Andhra Pradesh),Telugu,['Class 8'],Physical Science,do_31257771140829184016973,PHYSICS (CLASS VIII),Live,137,94,0,94,0
State (Andhra Pradesh),Telugu,['Class 8'],Social Studies,do_31257766740658585626709,SOCIAL STUDIES (CLASS VIII),Live,187,164,0,164,0
State (Andhra Pradesh),Telugu,['Class 9'],Biology,do_31257572730081280014117,Biological Science (CLASS IX),Live,206,109,1,110,1
State (Andhra Pradesh),Telugu,['Class 9'],Mathematics,do_31257495199211520023608,MATHEMATICS (CLASS IX),Live,130,104,0,104,0
State (Andhra Pradesh),Telugu,['Class 9'],Physical Science,do_31260528007503872026599,Physical Sciences (class Ix),Live,117,82,0,82,0
State (Andhra Pradesh),Telugu,['Class 9'],Social Studies,do_31257768809763635216751,SOCIAL STUDIES (CLASS IX),Live,183,164,0,164,0
State (Andhra Pradesh),Telugu,['Class 10'],Biology,do_31260485275852800026190,Biological Science (class X),Live,192,123,0,123,0
State (Andhra Pradesh),Telugu,['Class 10'],Mathematics,do_31253875598512128024536,Mathematics (class X),Live,143,98,0,98,0
State (Andhra Pradesh),Telugu,['Class 10'],Physical Science,do_31253936004557209614251,Physical Sciences (CLASS X),Live,235,157,0,157,0
State (Andhra Pradesh),Telugu,['Class 10'],Social Studies,do_31254010552272486426148,SOCIAL STUDIES (CLASS X),Live,207,168,0,168,0
